All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     202_BC-H-Abyss-Contig    202_BC-H-Cabog-Contig    202_BC-H-Mira-Contig    202_BC-H-Msrca-Contig    202_BC-H-Sga-Contig    202_BC-H-Soap-Contig    202_BC-H-Spades-Contig    202_BC-H-Velvet-Contig    204_BC-M-Abyss-Contig    204_BC-M-Cabog-Contig    204_BC-M-Mira-Contig    204_BC-M-Msrca-Contig    204_BC-M-Sga-Contig    204_BC-M-Soap-Contig    204_BC-M-Spades-Contig    204_BC-M-Velvet-Contig    
# N's per 100 kbp            0.00                     0.00                     4.54                    0.00                     0.00                   0.00                    16.04                     0.00                      102.42                   0.00                     3.53                    0.00                     0.00                   0.00                    4.10                      0.00                      
# mismatches per 100 kbp     3383.28                  3550.71                  3381.23                 2881.27                  3977.69                3904.84                 2353.02                   3487.03                   6.56                     4.80                     4.85                    9.08                     0.80                   8.96                    12.78                     6.18                      
# indels per 100 kbp         209.06                   310.54                   117.36                  205.49                   118.45                 142.17                  179.25                    118.84                    8.00                     2.41                     2.21                    3.58                     2.04                   2.98                    2.92                      3.13                      
# genes                      95 + 11 part             59 + 14 part             119 + 77 part           112 + 23 part            22 + 6 part            49 + 4 part             88 + 24 part              46 + 7 part               5813 + 73 part           5934 + 64 part           5919 + 85 part          5961 + 43 part           5684 + 231 part        5828 + 58 part          5896 + 68 part            5543 + 328 part           
Largest alignment            9186                     5194                     5197                    9186                     5197                   9186                    9186                      9186                      430487                   258489                   311769                  766822                   106317                 606357                  346882                    91844                     
NA50                         -                        -                        -                       -                        -                      -                       -                         -                         130570                   150479                   100038                  246697                   25767                  246346                  103691                    24577                     
NGA50                        -                        -                        -                       -                        -                      -                       -                         -                         130570                   150479                   100038                  246697                   25512                  246346                  103691                    24465                     
NA75                         -                        -                        -                       -                        -                      -                       -                         -                         69698                    74529                    51519                   170659                   16197                  78462                   60216                     13814                     
NGA75                        -                        -                        -                       -                        -                      -                       -                         -                         65667                    74529                    51519                   170659                   15678                  74856                   57817                     13213                     
LA50                         -                        -                        -                       -                        -                      -                       -                         -                         12                       14                       15                      6                        64                     6                       17                        66                        
LGA50                        -                        -                        -                       -                        -                      -                       -                         -                         12                       14                       15                      6                        65                     6                       17                        68                        
LA75                         -                        -                        -                       -                        -                      -                       -                         -                         26                       27                       34                      13                       129                    16                      34                        137                       
LGA75                        -                        -                        -                       -                        -                      -                       -                         -                         27                       27                       34                      13                       132                    17                      35                        143                       
