Assembly	CABOG_miseq_scf broken	CABOG_miseq_scf	CABOG_hiseq_scf broken	CABOG_hiseq_scf	MaSuRCA_miseq_scf broken	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf broken	MaSuRCA_hiseq_scf	SOAPdenovo_miseq_scf broken	SOAPdenovo_miseq_scf	SOAPdenovo_hiseq_scf broken	SOAPdenovo_hiseq_scf	SPAdes_miseq_scf broken	SPAdes_miseq_scf	SPAdes_hiseq_scf broken	SPAdes_hiseq_scf	Velvet_miseq_scf broken	Velvet_miseq_scf	Velvet_hiseq_scf broken	Velvet_hiseq_scf
# local misassemblies	1	1	7	13	3	3	4	15	2	274	17	383	4	4	11	11	3	6	6	123
# unaligned contigs	0 + 97 part	0 + 97 part	0 + 0 part	0 + 0 part	0 + 3 part	0 + 3 part	0 + 2 part	0 + 2 part	2 + 0 part	2 + 4 part	1 + 0 part	1 + 3 part	57 + 3 part	57 + 3 part	3 + 0 part	3 + 0 part	1 + 2 part	1 + 2 part	1 + 0 part	1 + 0 part
Unaligned contigs length	7706	7706	0	0	811	811	399	399	5991	8949	551	1307	46754	46754	2685	2685	6297	6297	549	549
Genome fraction (%)	7.639	7.639	95.361	95.321	97.670	97.670	98.121	98.152	96.081	96.774	96.389	97.200	98.752	98.752	98.753	98.753	96.223	96.242	96.181	96.251
Duplication ratio	1.011	1.011	1.006	1.023	1.023	1.023	1.008	1.013	1.000	1.011	1.001	1.012	1.004	1.004	1.062	1.062	1.007	1.007	1.011	1.016
# N's per 100 kbp	0.00	0.00	0.00	25.97	0.00	0.00	0.00	17.54	0.00	1026.18	0.05	1287.95	5.84	5.84	9.00	9.00	0.00	1.28	0.00	515.80
# mismatches per 100 kbp	36.35	36.35	7.72	7.41	6.27	6.27	68.90	68.83	3.87	3.95	7.51	8.16	4.87	4.90	7.18	7.03	3.99	4.33	5.70	5.80
# indels per 100 kbp	17.20	17.20	7.41	18.75	3.17	3.17	6.65	12.07	2.89	3.00	2.91	2.99	3.11	3.11	3.72	3.72	2.63	2.65	3.38	5.28
# genes	123 + 277 part	123 + 277 part	3346 + 120 part	3383 + 84 part	3534 + 66 part	3534 + 66 part	3552 + 65 part	3568 + 51 part	3326 + 134 part	3349 + 155 part	3267 + 207 part	3299 + 215 part	3598 + 28 part	3598 + 28 part	3586 + 26 part	3586 + 26 part	3458 + 72 part	3459 + 71 part	3371 + 132 part	3379 + 130 part
Largest alignment	5582	5582	224338	355655	255146	255146	356958	555729	107390	246082	69634	573310	741022	741022	572859	572859	246346	246346	157783	409820
NA50	1624	1624	57089	134075	76131	76131	90882	236430	30205	91868	23972	180945	262160	262160	214751	214751	105176	105176	41373	163055
NGA50	-	-	55585	102118	76131	76131	90882	236430	28829	89757	22807	180945	262160	262160	214751	214751	105176	105176	39468	156829
NA75	1288	1288	28862	47302	45141	45141	48002	76901	17200	38643	13646	92058	106531	106531	129169	129169	43442	43442	19470	71376
NGA75	-	-	25091	40477	45141	45141	47549	76901	16546	38321	12268	92058	106531	106531	152627	152627	39408	39408	18535	59664
LA50	72	72	20	10	16	16	10	6	37	14	53	7	5	5	7	7	12	12	29	8
LGA50	-	-	22	11	16	16	10	6	40	15	56	7	5	5	7	7	12	12	31	9
LA75	128	128	44	25	34	34	24	15	81	33	107	14	12	12	13	13	26	26	62	18
LGA75	-	-	49	28	34	34	25	15	88	34	115	14	12	12	12	12	28	28	68	20
