AH-H-Abyss	AH-H-Cabog	AH-H-Mira	AH-H-Msrca	AH-H-Sga	AH-H-Soap	AH-H-Spades	AH-H-Velvet	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet	BC-H-Abyss	BC-M-Abyss	BC-H-Cabog	BC-M-Cabog	BC-H-Mira	BC-M-Mira	BC-H-Msrca	BC-M-Msrca	BC-H-Sga	BC-M-Sga	BC-H-Soap	BC-M-Soap	BC-H-Spades	BC-M-Spades	BC-H-Velvet	BC-M-Velvet	BF-H-Abyss	BF-H-Cabog	BF-H-Mira	BF-H-Msrca	BF-H-Sga	BF-H-Soap	BF-H-Spades	BF-H-Velvet	MA-H-Abyss	MA-M-Abyss	MA-H-Cabog	MA-M-Cabog	MA-H-Mira	MA-M-Mira	MA-H-Msrca	MA-M-Msrca	MA-H-Sga	MA-M-Sga	MA-H-Soap	MA-M-Soap	MA-H-Spades	MA-M-Spades	MA-H-Velvet	MA-M-Velvet	MA-H-Abyss	MA-M-Abyss	MA-H-Cabog	MA-M-Cabog	MA-H-Mira	MA-M-Mira	MA-H-Msrca	MA-M-Msrca	MA-H-Sga	MA-M-Sga	MA-H-Soap	MA-M-Soap	MA-H-Spades	MA-M-Spades	MA-H-Velvet	MA-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	SA-H-Abyss	SA-H-Cabog	SA-H-Mira	SA-H-Msrca	SA-H-Sga	SA-H-Soap	SA-H-Spades	SA-H-Velvet	VC-H-Abyss	VC-M-Abyss	VC-H-Cabog	VC-M-Cabog	VC-H-Mira	VC-M-Mira	VC-H-Msrca	VC-M-Msrca	VC-H-Sga	VC-M-Sga	VC-H-Soap	VC-M-Soap	VC-H-Spades	VC-M-Spades	VC-H-Velvet	VC-M-Velvet	VC-H-Abyss	VC-M-Abyss	VC-H-Cabog	VC-M-Cabog	VC-H-Mira	VC-M-Mira	VC-H-Msrca	VC-M-Msrca	VC-H-Sga	VC-M-Sga	VC-H-Soap	VC-M-Soap	VC-H-Spades	VC-M-Spades	VC-H-Velvet	VC-M-Velvet	XA-H-Abyss	XA-H-Cabog	XA-H-Mira	XA-H-Msrca	XA-H-Sga	XA-H-Soap	XA-H-Spades	XA-H-Velvet
11	15	12	16	7	50	15	12	18	92	26	43	26	85	32	40	13	155	129	74	16	38	34	74	136	92	26	43	26	85	32	40	13	155	129	74	16	38	34	74	136	42	38	24	23	76	30	22	29	29	48	43	378	22	36	17	104	110	255	22	29	20	16	54	71	29	48	43	378	22	36	17	104	110	255	22	29	20	16	54	71	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115	29	16	16	9	43	13	11	15	29	16	16	9	43	13	11	15	29	16	16	9	43	13	11	15	27	44	43	74	27	20	13	33	103	94	21	34	32	11	62	31	27	44	43	74	27	20	13	33	103	94	21	34	32	11	62	31	40	32	53	30	70	44	30	40
12	61,53	61,6	61,57	61,61	61,62	61,61	61,54	61,61	35,2	35,3	34,96	35,41	35,21	35,42	35,21	35,39	35,18	35,3	35,19	35,28	35,26	35,36	35,48	35,29	35,2	35,3	34,96	35,41	35,21	35,42	35,21	35,39	35,18	35,3	35,19	35,28	35,26	35,36	35,48	35,29	43,43	43,41	43,47	43,45	43,45	43,47	43,47	43,46	64,1	64,1	64,1	64,08	64,11	64,09	64,13	64,1	64,11	64,08	64,09	64,09	64,11	64,02	64,11	64,07	64,1	64,1	64,1	64,08	64,11	64,09	64,13	64,1	64,11	64,08	64,09	64,09	64,11	64,02	64,11	64,07	68,72	68,77	68,94	69,06	68,89	68,75	68,87	68,9	68,7	68,79	68,88	68,83	68,83	68,81	68,76	68,77	68,72	68,77	68,94	69,06	68,89	68,75	68,87	68,9	68,7	68,79	68,88	68,83	68,83	68,81	68,76	68,77	68,72	68,77	68,94	69,06	68,89	68,75	68,87	68,9	68,7	68,79	68,88	68,83	68,83	68,81	68,76	68,77	68,72	68,77	68,94	69,06	68,89	68,75	68,87	68,9	68,7	68,79	68,88	68,83	68,83	68,81	68,76	68,77	68,72	68,77	68,94	69,06	68,89	68,75	68,87	68,9	68,7	68,79	68,88	68,83	68,83	68,81	68,76	68,77	68,72	68,77	68,94	69,06	68,89	68,75	68,87	68,9	68,7	68,79	68,88	68,83	68,83	68,81	68,76	68,77	68,72	68,77	68,94	69,06	68,89	68,75	68,87	68,9	68,7	68,79	68,88	68,83	68,83	68,81	68,76	68,77	32,92	32,73	32,75	32,85	32,63	32,69	32,78	32,73	32,92	32,73	32,75	32,85	32,63	32,69	32,78	32,73	32,92	32,73	32,75	32,85	32,63	32,69	32,78	32,73	47,57	47,56	47,53	47,52	47,5	47,48	47,5	47,47	47,54	47,53	47,52	47,56	47,51	47,37	47,5	47,52	47,57	47,56	47,53	47,52	47,5	47,48	47,5	47,47	47,54	47,53	47,52	47,56	47,51	47,37	47,5	47,52	65,09	65,19	64,17	65,08	65,2	65,12	65,04	65,12
13	0	2	1	2	3	0	1	0	5	1	0	3	1	7	4	8	0	1	1	0	5	4	0	2	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	154	102	115	119	65	92	104	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	7	122	22	1085	6	70	3	6	8	5	4	6	4	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	2	1	3	1	1	0	0	1	0	0	1	1	0	0	0	0	0	2	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	61	78	77	75	32	61	67	64	NA	NA	0	NA	0	NA	NA	0	3	1	5	3	9	8	4	8	1	1	7	4	1	3	1	6	1	1	12	8	14	34	2	6	1	1	6	7	3	2	3	6	2	1	0	0	6	0	0	0
14	0	2	1	2	3	0	1	0	5	1	0	3	1	7	4	8	0	1	1	0	5	4	0	2	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	144	96	108	108	65	92	100	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	7	122	22	1085	6	70	3	6	8	5	4	6	4	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	2	1	3	1	1	0	0	1	0	0	1	1	0	0	0	0	0	2	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	61	78	76	74	32	60	66	64	NA	NA	0	NA	0	NA	NA	0	3	1	5	3	9	8	4	8	1	1	7	4	1	3	1	6	1	1	12	8	14	34	2	6	1	1	6	7	3	2	3	6	2	1	0	0	6	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	10	6	7	11	0	0	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	NA	NA	0	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	2	1	2	3	0	1	0	4	1	0	3	1	6	3	8	0	1	1	0	5	3	0	2	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	64	48	42	45	45	37	30	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	7	115	15	456	6	69	3	6	7	5	4	6	4	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	2	1	3	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	36	27	29	21	27	25	19	28	NA	NA	0	NA	0	NA	NA	0	3	1	5	3	7	8	4	8	1	1	7	4	1	3	1	6	1	1	7	8	12	24	2	6	1	1	4	7	3	2	3	6	1	1	0	0	5	0	0	0
18	0	28456	19737	3104	131784	0	579	0	3003	29730	0	316206	995	467784	3269	274719	0	508	503	0	3725	1999	0	66858	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	6055	5508098	3570138	4218273	4167060	2145331	3785868	3997256	3745674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	302822	92402	612517	617425	1331243	2501821	1062986	471137	114888	78397	1261153	771028	551561	925594	215454	1569654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	4413	0	0	0	0	0	0	26700	0	0	0	20091	0	0	0	0	74486	0	0	70664	8523	0	3870	84753	5798	46723	557	563	0	0	11354	0	0	134342	2649	0	0	0	0	0	13094	13107	0	7536	0	0	0	0	4429	0	0	0	0	0	0	0	0	20420	797	0	0	0	0	0	0	0	0	0	0	0	0	0	1721	0	0	1703	2016985	2395546	2299960	2708175	1100475	2429427	2666808	2358994	NA	NA	0	NA	0	NA	NA	0	87755	62005	285045	54449	494457	1005746	330156	185725	2379	9459	586916	368149	62063	370072	40085	476321	8770	8436	42198	22901	26402	64057	15284	19317	7351	8582	29565	31040	13682	16575	15104	82242	60758	18508	0	0	256146	0	0	0
19	0	1	3	0	9	0	0	0	2	23	0	6	0	12	1	11	0	1	1	20	0	12	0	9	NA	2	NA	0	NA	3	NA	1	NA	0	NA	1	NA	2	NA	2	53	48	50	50	39	46	50	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	2	6	5	6	18	2	2	1	1	16	19	5	4	9	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	3	1	0	0	5	6	2	3	2	6	1	1	1	1	1	1	1	2	1	1	3	2	2	1	2	2	0	0	0	0	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	63	77	78	44	79	83	78	NA	NA	0	NA	0	NA	NA	0	11	0	9	6	7	4	4	1	0	0	33	25	1	2	4	1	6	0	2	1	2	3	1	2	0	0	17	19	1	2	4	1	14	6	7	7	22	6	8	12
20	12	40	72	2	68	6	13	10	317	1	122	3	490	7	152	0	541	11	250	13	179	2	250	30	374	70	163	61	610	105	210	55	567	328	284	60	252	93	282	339	34	24	88	19	75	59	46	63	96	149	127	856	82	532	63	325	304	666	71	91	74	73	138	203	0	0	0	5	0	2	0	1	0	5	1	1	0	20	0	1	500	372	510	142	586	623	97	52	555	802	685	334	156	93	568	320	507	376	524	142	571	608	94	47	559	808	699	333	151	90	576	323	497	362	528	146	586	665	85	47	551	798	692	322	144	86	564	312	180	140	147	27	346	395	36	12	222	241	290	149	62	38	206	132	385	298	399	105	514	616	64	39	448	637	585	275	113	67	448	247	485	353	526	144	553	677	85	47	527	786	659	315	136	74	556	308	505	375	529	143	613	714	96	51	555	813	697	341	151	93	578	326	87	52	93	35	142	47	40	54	9	6	62	3	33	10	8	13	92	56	107	39	148	52	44	58	71	93	22	74	63	57	42	60	135	123	51	76	73	100	89	64	60	99	75	121	49	68	19	58	193	166	33	90	42	75	102	58	88	38	1092	91	119	87	109	90
21	162641	349640	282923	3606	1237798	112057	46999	159840	4185249	69698	2848290	107565	3677450	109930	2963960	0	4916800	127974	4086765	197377	2603093	1266	3773534	191076	5805336	4636430	4796994	4506052	5641826	4423884	5624071	4419587	5471145	5062466	5599263	5133980	5729752	4542562	4966856	5054777	335943	277939	269971	221693	339100	253980	253522	257196	5123560	5116522	5116091	5116310	5151058	5431987	5144734	5418108	5122631	5232350	5136175	5133667	5132082	5158616	5126222	5136825	0	0	0	38295	0	7076	0	11781	0	38083	5385	5385	0	16591	0	5482	4287630	4389183	4079297	3887512	4364722	4425615	3707912	3665724	4070838	4398389	4333020	4391057	4316010	3987588	4363309	4371287	4354894	4397908	4146760	3887512	4377744	4427697	3705276	3744344	4079737	4423022	4341342	4399402	4325167	3993153	4372647	4381830	4393517	4405669	4187921	3952525	4385470	4469428	4156613	4009279	4146869	4430364	4366531	4382974	4486966	4299820	4381207	4389039	1248267	1350401	1006862	717607	1191404	1258616	561015	440523	1159818	1267041	1275221	1259109	869993	835384	1341097	1334482	3423279	3589043	3249316	2902044	3377470	3549022	2820865	2600138	3253730	3531070	3489132	3553074	3366868	2886590	3559995	3527037	4234064	4347876	4188359	3920624	4380677	4452850	4028196	3866980	4088198	4364818	4356899	4344231	4230197	3766185	4325887	4321147	4312221	4445631	4182857	3903420	4355615	4475798	3701100	3696035	4132778	4477674	4412223	4391320	4147008	4175980	4393452	4400356	2938858	2525733	2691069	2502008	2731145	2414742	2361939	2499950	92626	19806	75708	11408	98794	73720	46693	75889	3034102	2796508	2851085	2892444	2764539	2822930	2854235	2797339	405031	1005322	400609	575592	229410	210195	253869	497891	854343	848968	514780	661561	411898	198492	793500	475730	2055249	2895073	1932711	2111435	1389455	1152344	534574	1433311	2790373	2719046	1272459	1868996	1347944	367337	2299924	1433869	811285	622667	1736491	712073	1393651	932542	740305	908932
22	34	32	36	21	61	28	26	39	42	9	41	8	70	10	50	6	26	11	31	0	55	6	27	3	NA	8	NA	7	NA	10	NA	6	NA	8	NA	0	NA	8	NA	1	28	25	27	17	52	21	18	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	6	14	1	2	0	14	3	5	1	1	1	0	2	7	5	1	4	4	3	9	7	6	5	8	1	4	5	9	1	1	5	0	7	4	6	11	7	7	5	7	0	4	6	9	1	0	6	1	1	NA	10	8	9	4	1	10	2	5	5	10	1	2	8	1	18	7	17	19	16	10	8	14	9	10	11	14	4	2	13	1	13	8	16	18	14	9	14	16	4	11	11	13	2	3	11	5	6	2	11	14	15	6	7	16	4	10	9	17	5	4	10	2	4	3	8	10	7	6	5	11	1	5	9	11	3	3	5	4	11	3	6	4	4	4	17	13	8	8	27	9	7	8	NA	NA	3	NA	2	NA	NA	2	8	0	15	23	17	20	14	25	12	18	5	10	18	15	5	19	12	0	17	30	23	28	18	27	9	16	11	12	23	14	16	21	57	46	50	42	82	62	41	55
23	25	20	25	14	25	23	20	27	9	1	10	2	13	1	17	4	2	1	7	0	17	4	4	0	NA	1	NA	2	NA	1	NA	3	NA	0	NA	0	NA	0	NA	0	9	6	6	2	8	5	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	0	0	1	0	0	2	0	1	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	1	2	2	1	0	3	0	0	5	3	0	0	0	0	0	NA	1	3	3	2	0	1	0	0	1	3	0	0	1	0	1	2	0	2	1	2	0	1	0	1	0	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	5	1	1	1	1	0	0	1	2	1	0	0	1	0	0	1	1	1	1	2	2	3	1	3	2	2	2	5	4	3	3	6	3	3	3	NA	NA	1	NA	1	NA	NA	1	3	0	3	3	3	8	5	5	0	1	2	0	5	6	1	5	1	0	1	1	4	6	6	3	0	1	4	3	2	6	1	5	31	32	31	30	25	35	30	35
24	29	24	27	18	45	25	25	34	13	9	26	7	21	2	20	6	11	0	12	0	28	3	15	0	NA	8	NA	7	NA	7	NA	6	NA	0	NA	0	NA	3	NA	1	22	13	9	12	31	13	12	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	3	4	0	1	0	6	2	3	1	1	1	0	2	2	5	0	0	2	1	1	0	0	0	0	0	0	5	3	0	0	5	0	0	2	1	1	1	2	0	0	0	0	6	5	0	0	2	1	0	NA	3	6	3	2	0	0	0	1	5	6	0	1	5	0	3	4	5	4	2	2	0	0	1	1	8	6	0	0	8	0	2	4	5	3	3	3	0	0	0	0	7	4	0	0	9	4	1	1	3	3	4	2	1	5	1	3	8	10	4	4	7	2	0	1	3	2	2	0	0	2	0	0	7	6	2	2	5	4	1	2	1	1	3	1	12	9	4	4	14	4	4	5	NA	NA	0	NA	0	NA	NA	0	3	0	3	5	2	6	9	7	0	0	1	0	0	6	1	3	1	0	3	5	4	5	8	5	0	0	1	1	0	5	2	5	51	44	44	41	63	56	39	52
25	4071442	3915649	3943747	4252760	2821686	4070139	4145432	4023562	1570119	126428	1908957	89090	1873594	54559	2601854	196772	527612	68893	1475931	0	3056794	196781	1151206	266	NA	511520	NA	685080	NA	770442	NA	788204	NA	93845	NA	0	NA	630763	NA	53887	347720	198312	248800	217963	339945	263522	232326	230190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66194	78075	65602	36751	25	11929	0	60407	66157	34625	11899	11899	54213	0	66112	41395	133184	39	20914	63273	20019	56274	656233	578823	33048	49550	14	24277	190818	478393	39	39	60474	0	29814	63167	30826	56607	666261	491906	35768	30881	0	25768	185307	476257	43	0	38868	1479	2346	NA	25458	25881	233103	165608	435	28078	3174	53160	34389	181001	1455	6257	109161	49	64764	159388	106702	155716	721545	599469	51105	112159	15920	95782	520631	554424	269	3519	178575	1228	72732	138273	176081	109452	713870	692588	97424	96993	32130	45541	316472	746661	6116	39136	190859	46321	14792	30933	25183	30917	420752	363621	55480	84325	11431	79867	272460	699531	42175	62943	190574	22704	29874	48156	107968	93904	746744	516833	57776	46825	1354	102203	439947	347240	46721	52247	84095	266551	152341	387807	46530	398816	482293	314904	101872	44537	34560	98951	68748	28478	42898	28198	NA	NA	2145	NA	22781	NA	NA	26929	614664	0	548333	441445	788832	842699	790848	564374	137947	163608	505039	357144	612415	886549	217738	597804	936969	0	935406	814161	1520126	1793338	2383810	1516357	102308	195476	1632619	1035465	1557501	2605794	596697	1476067	2950892	3160024	3202669	3139397	2178453	2899883	3147412	2893059
26	1049	5044	2164	1575	17253	2592	2011	2248	971	339	606	257	2593	253	645	484	1041	45	824	473	722	673	1027	313	NA	15	NA	2	NA	9	NA	11	NA	2	NA	5	NA	19	NA	19	28510	28116	28784	29482	27275	28301	28649	28262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	196	79	428	203	288	226	2511	146	55	73	86	105	107	237	152	125	8	9	3	0	10	18	105	4	3	8	36	5	8	15	15	10	47	39	6	6	35	58	131	92	0	30	13	28	26	19	6	5	92	38	3	NA	109	148	92	77	2	62	49	63	37	30	17	25	180	56	516	181	417	1073	2285	165	42	27	775	35	138	223	300	266	95	76	388	102	399	447	683	152	8	13	235	7	141	150	97	265	62	40	14	0	117	118	78	58	12	48	90	94	52	47	28	36	5	0	6	1	52	17	11	15	5	4	5	11	6	2	3	0	9	6	126	6	21	6	6	12	22194	22101	22620	23308	20948	22361	22487	22655	NA	NA	5	NA	4	NA	NA	4	135	93	339	189	163	167	1975	133	91	125	311	265	153	118	112	102	140	119	359	243	349	187	748	205	100	43	241	135	142	84	70	61	15970	9845	10503	10183	30389	13115	9276	12158
27	44	186	95	61	694	92	75	74	60	417	53	124	90	114	46	188	31	103	30	153	55	151	35	162	NA	11	NA	5	NA	5	NA	59	NA	6	NA	6	NA	11	NA	4	1601	2721	1353	1271	1117	1239	1397	1333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	109	70	292	36	44	38	330	83	75	21	63	66	84	54	46	35	3	3	0	0	4	3	4	1	0	3	72	0	3	3	3	3	2	2	2	2	0	2	4	4	0	4	0	0	4	2	2	2	3	0	5	NA	3	11	11	6	0	8	0	3	1	5	0	0	15	13	34	15	31	150	37	15	5	20	243	30	22	17	17	26	6	5	41	4	48	43	6	9	4	4	22	5	8	9	5	5	42	2	1	1	49	8	11	3	1	35	1	17	9	6	2	4	5	5	2	0	1	1	6	8	0	5	0	1	5	6	5	5	0	0	32	0	1	0	0	0	1594	1877	1556	1553	1004	1408	1364	1548	NA	NA	1	NA	0	NA	NA	0	127	56	194	90	91	83	189	71	59	60	148	75	61	75	67	58	98	47	87	54	61	79	86	55	46	48	72	99	54	55	123	52	707	415	388	474	1105	468	323	551
28	59	275	139	88	1084	127	107	108	75	2711	56	251	103	230	63	329	33	256	34	377	62	525	39	414	NA	89	NA	5	NA	5	NA	59	NA	50	NA	50	NA	104	NA	4	2749	4086	2690	2748	2267	2509	2651	2553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	657	203	427	103	141	83	509	126	176	175	372	474	215	127	237	154	3	3	0	0	4	3	4	1	0	3	72	0	3	3	3	3	3	3	2	2	0	2	4	5	0	5	0	0	5	3	3	3	3	0	5	NA	3	17	11	6	0	8	0	3	1	5	0	0	20	49	103	25	138	299	118	22	6	78	626	45	29	70	61	155	6	5	90	4	55	44	6	9	4	4	219	12	41	32	5	5	73	2	1	1	49	8	42	3	1	38	1	18	9	6	2	4	7	7	2	0	1	6	13	13	0	7	0	6	7	13	7	7	0	0	32	0	1	0	0	0	2821	3734	3132	3083	2303	2952	3031	2901	NA	NA	1	NA	0	NA	NA	0	462	70	212	130	106	114	226	93	70	71	176	112	85	88	94	86	241	51	112	72	82	158	129	75	50	51	160	126	71	94	168	82	1032	649	607	609	1575	709	498	762
