All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes          Largest alignment  NA50    NGA50   NA75    NGA75   LA50  LGA50  LA75  LGA75  
2_BC-H-Abyss-Scaffold           341        5810521       257581          5432652           35.21   35.50             48439   51322   20272   22540   32   28    81   67    5                4676                         1                      288 + 41 part        5760196                   0.822                1.133              33.56              3224.88                   172.50                102 + 12 part    9186               -       -       -       -       -     -      -     -      
2_BC-H-Cabog-Scaffold broken    163        4796994       387299          5432652           34.96   35.50             79405   61625   31477   18467   17   22    43   63    0                0                            0                      122 + 41 part        4757247                   0.588                1.244              0.00               3580.01                   322.26                59 + 14 part     5194               -       -       -       -       -     -      -     -      
2_BC-H-Cabog-Scaffold           150        4797750       387299          5432652           34.97   35.50             80931   69448   31510   19655   16   21    40   59    0                0                            0                      111 + 39 part        4758003                   0.588                1.244              5.84               3238.61                   342.55                59 + 14 part     5194               -       -       -       -       -     -      -     -      
2_BC-H-Msrca-Scaffold broken    210        5624071       397830          5432652           35.21   35.50             97165   103595  34913   40080   16   15    40   36    4                3269                         1                      152 + 50 part        5565814                   0.897                1.198              0.00               2872.33                   205.49                112 + 23 part    9186               -       -       -       -       -     -      -     -      
2_BC-H-Msrca-Scaffold           206        5664568       397830          5432652           35.21   35.50             103595  119395  34913   41946   15   14    39   34    5                4701                         1                      149 + 49 part        5605819                   0.903                1.200              673.68             2862.80                   224.27                116 + 23 part    9186               -       -       -       -       -     -      -     -      
2_BC-H-Sga-Scaffold broken      292        2788872       108597          5432652           34.30   35.50             22083   1820    8798    -       36   223   88   -     0                0                            0                      287 + 5 part         2785141                   0.069                1.001              0.00               2815.77                   53.63                 3 + 1 part       2675               -       -       -       -       -     -      -     -      
2_BC-H-Sga-Scaffold             283        2789969       140984          5432652           34.29   35.50             22086   1863    8897    -       35   215   85   -     0                0                            0                      278 + 5 part         2786238                   0.069                1.001              10.75              2815.77                   53.63                 3 + 1 part       2675               -       -       -       -       -     -      -     -      
2_BC-H-Soap-Scaffold broken     271        5603986       291831          5432652           35.19   35.50             58377   60330   22983   25203   27   26    67   61    1                503                          1                      237 + 31 part        5566863                   0.658                1.039              0.50               3892.20                   147.87                49 + 4 part      9186               -       -       -       -       -     -      -     -      
2_BC-H-Soap-Scaffold            271        5603986       291831          5432652           35.19   35.50             58377   60330   22983   25203   27   26    67   61    1                503                          1                      237 + 31 part        5566863                   0.658                1.039              0.50               3892.20                   147.87                49 + 4 part      9186               -       -       -       -       -     -      -     -      
2_BC-H-Spades-Scaffold broken   249        5745221       459337          5432652           35.25   35.50             94312   97380   37419   48782   15   14    38   33    6                4780                         1                      177 + 54 part        5674072                   1.053                1.246              16.01              2299.84                   195.12                95 + 24 part     9186               -       -       -       -       -     -      -     -      
2_BC-H-Spades-Scaffold          249        5745221       459337          5432652           35.25   35.50             94312   97380   37419   48782   15   14    38   33    6                4780                         1                      177 + 54 part        5674072                   1.053                1.246              16.01              2306.24                   195.12                95 + 24 part     9186               -       -       -       -       -     -      -     -      
2_BC-H-Velvet-Scaffold broken   282        4966856       267159          5432652           35.48   35.50             44126   38930   20909   14779   33   39    74   94    0                0                            0                      250 + 27 part        4924740                   0.759                1.022              0.00               3487.03                   118.84                46 + 7 part      9186               -       -       -       -       -     -      -     -      
2_BC-H-Velvet-Scaffold          253        4972276       267159          5432652           35.49   35.50             46375   41387   23021   16023   29   34    67   85    0                0                            1                      222 + 26 part        4929919                   0.758                1.029              37.91              3401.58                   125.72                46 + 7 part      9186               -       -       -       -       -     -      -     -      
3_BC-M-Abyss-Scaffold broken    174        5373450       254222          5432652           35.30   35.50             57851   57574   32663   31859   31   32    62   63    2                30298                        12                     0 + 1 part           2255                      98.301               1.010              1.99               6.55                      3.30                  5758 + 121 part  254222             57851   57574   32663   31859   31    32     62    63     
3_BC-M-Abyss-Scaffold           74         5380708       430487          5432652           35.30   35.50             135613  135613  74995   74197   11   11    24   25    3                126343                       29                     0 + 1 part           2338                      98.444               1.010              116.43             6.58                      7.57                  5819 + 65 part   430487             135296  135296  74995   73848   11    11     24    25     
3_BC-M-Cabog-Scaffold broken    77         5419570       258489          5432652           35.41   35.50             155352  155352  76333   76333   13   13    26   26    4                541451                       6                      0 + 1 part           2142                      99.323               1.006              0.00               4.80                      2.41                  5934 + 64 part   258489             150479  150479  74529   74529   14    14     27    27     
3_BC-M-Cabog-Scaffold           33         5420940       1198056         5432652           35.41   35.50             431479  431479  211009  211009  4    4     9    9     10               1044142                      12                     0 + 1 part           2142                      99.334               1.017              17.43              4.39                      5.86                  5964 + 34 part   1197973            288228  288228  131868  131868  5     5      11    11     
3_BC-M-Msrca-Scaffold broken    68         5432639       766822          5432652           35.39   35.50             246697  246697  170659  170659  6    6     13   13    9                289559                       11                     0 + 1 part           2142                      99.160               1.011              0.00               9.08                      3.58                  5961 + 43 part   766822             246697  246697  170659  170659  6     6      13    13     
3_BC-M-Msrca-Scaffold           61         5433046       1197734         5432652           35.39   35.50             337861  337861  209762  209762  4    4     10   10    12               669110                       13                     0 + 1 part           2142                      99.160               1.011              7.49               9.08                      5.94                  5964 + 40 part   1197581            337861  337861  184731  184731  4     4      10    10     
3_BC-M-Sga-Scaffold broken      341        5321914       106317          5432652           35.27   35.50             25876   25512   16762   15678   63   65    126  132   1                508                          1                      0 + 1 part           2139                      97.572               1.004              0.00               0.68                      2.06                  5642 + 232 part  106317             25876   25512   16762   15678   63    65     126   132    
3_BC-M-Sga-Scaffold             341        5321914       106317          5432652           35.27   35.50             25876   25512   16762   15678   63   65    126  132   1                508                          1                      0 + 1 part           2139                      97.572               1.004              0.00               0.68                      2.06                  5642 + 232 part  106317             25876   25512   16762   15678   63    65     126   132    
3_BC-M-Soap-Scaffold broken     61         5343675       700557          5432652           35.29   35.50             380728  380728  99177   97012   5    5     13   14    0                0                            36                     1 + 0 part           2316                      98.245               1.024              0.52               8.77                      5.25                  5841 + 48 part   700554             380728  380728  99176   97012   5     5      13    14     
3_BC-M-Soap-Scaffold            56         5344353       1194879         5432652           35.29   35.50             456635  456635  128609  116644  4    4     10   11    0                0                            41                     1 + 0 part           2316                      98.258               1.029              8.51               8.15                      5.68                  5843 + 47 part   1194643            455989  455989  128609  116644  4     4      10    11     
3_BC-M-Spades-Scaffold broken   78         5401195       521048          5432652           35.37   35.50             191536  191536  103769  103769  10   10    19   19    6                170879                       34                     1 + 1 part           2640                      98.997               1.012              4.24               13.20                     5.71                  5919 + 56 part   520985             191536  191536  103684  103684  10    10     19    19     
3_BC-M-Spades-Scaffold          73         5401521       521048          5432652           35.37   35.50             212506  212506  120480  120480  8    8     16   16    6                170879                       38                     1 + 1 part           2640                      98.997               1.012              8.70               13.16                     5.76                  5921 + 54 part   520985             212506  212506  120478  120478  8     8      16    16     
3_BC-M-Velvet-Scaffold broken   373        5310336       91844           5432652           35.29   35.50             24786   24465   13917   13213   65   68    136  143   3                72913                        11                     1 + 3 part           2596                      97.661               1.003              0.00               6.18                      3.13                  5543 + 328 part  91844              24577   24465   13814   13213   66    68     137   143    
3_BC-M-Velvet-Scaffold          78         5356258       896381          5432652           35.30   35.50             247748  247748  88406   88406   6    6     14   14    7                705370                       263                    1 + 1 part           2404                      97.755               1.010              783.91             6.25                      30.20                 5608 + 278 part  890081             208398  208398  87283   80463   7     7      15    16     
4_BF-H-Abyss-Scaffold broken    141        7034687       419237          5373121           43.43   43.42             121452  146158  55354   102554  19   13    41   24    159              5339903                      48                     33 + 25 part         700148                    80.629               1.463              0.01               661.09                    37.07                 3391 + 102 part  186153             38481   50798   12492   30333   54    35     132   69     
4_BF-H-Abyss-Scaffold           135        7036438       419237          5373121           43.43   43.42             126082  148670  58781   106769  19   13    38   23    164              5640821                      54                     32 + 22 part         634171                    80.648               1.478              8.37               661.94                    37.94                 3391 + 102 part  186153             39610   53546   12492   30344   53    35     130   68     
4_BF-H-Cabog-Scaffold broken    136        5213908       363813          5373121           43.41   43.42             95840   94207   42294   41281   18   19    38   41    102              3570138                      48                     24 + 25 part         476251                    79.582               1.109              0.00               659.26                    63.80                 3301 + 156 part  182457             33716   30567   9866    7076    41    44     107   121    
4_BF-H-Cabog-Scaffold           129        5214301       365693          5373121           43.41   43.42             95840   94207   47426   42294   18   19    37   40    107              3608038                      50                     24 + 22 part         473772                    79.583               1.110              3.07               659.51                    64.90                 3303 + 154 part  182457             33716   30567   10147   7108    41    44     106   120    
4_BF-H-Msrca-Scaffold broken    109        5392427       391846          5373121           43.45   43.42             158716  158716  74628   74628   11   11    23   23    119              4167060                      50                     19 + 17 part         439656                    80.517               1.146              0.00               683.94                    29.50                 3377 + 105 part  185930             42218   42218   11177   11607   37    37     93    92     
4_BF-H-Msrca-Scaffold           104        5392527       392871          5373121           43.45   43.42             158716  158716  74628   74628   11   11    23   23    122              4229693                      51                     16 + 17 part         438691                    80.517               1.146              1.85               684.17                    29.36                 3377 + 105 part  185930             42218   42218   11177   11607   37    37     93    92     
4_BF-H-Sga-Scaffold broken      233        5163661       188622          5373121           43.42   43.42             48627   48285   30245   28345   36   38    69   74    69               2335819                      41                     57 + 45 part         632830                    79.378               1.063              0.00               641.55                    27.87                 3305 + 124 part  133449             30189   29577   9731    6705    54    57     125   146    
4_BF-H-Sga-Scaffold             224        5165148       188622          5373121           43.42   43.42             51632   49960   30518   28394   34   36    66   71    68               2361708                      41                     55 + 42 part         623746                    79.367               1.065              6.29               641.50                    30.35                 3308 + 120 part  133449             30573   29887   9744    6721    51    55     122   142    
4_BF-H-Soap-Scaffold broken     137        5264325       384109          5373121           43.47   43.42             132255  130112  60952   60898   13   14    28   29    92               3855147                      48                     55 + 18 part         519025                    80.135               1.102              0.32               659.94                    29.04                 3361 + 110 part  185821             43184   41464   13208   11607   37    39     91    97     
4_BF-H-Soap-Scaffold            137        5264325       384109          5373121           43.47   43.42             132255  130112  60952   60898   13   14    28   29    92               3855147                      48                     55 + 18 part         519025                    80.135               1.102              0.32               659.94                    29.04                 3361 + 110 part  185821             43184   41464   13208   11607   37    39     91    97     
4_BF-H-Spades-Scaffold broken   106        5319796       534462          5373121           43.47   43.42             157732  157732  87246   87246   10   10    21   21    104              4051114                      50                     45 + 18 part         486366                    80.370               1.120              8.25               666.86                    34.42                 3374 + 102 part  185423             44083   43492   14057   13166   36    37     86    89     
4_BF-H-Spades-Scaffold          106        5319796       534462          5373121           43.47   43.42             157732  157732  87246   87246   10   10    21   21    104              4051114                      50                     45 + 18 part         486366                    80.370               1.120              8.25               666.91                    34.42                 3374 + 102 part  185423             44083   43492   14057   13166   36    37     86    89     
4_BF-H-Velvet-Scaffold broken   142        5261270       286976          5373121           43.46   43.42             125214  125214  59460   59261   14   14    29   30    98               3745674                      46                     63 + 18 part         487386                    80.117               1.109              0.00               660.02                    31.13                 3363 + 106 part  185610             42686   41192   13480   11607   37    39     89    96     
4_BF-H-Velvet-Scaffold          124        5263144       474682          5373121           43.46   43.42             147512  147512  70735   63670   11   11    23   25    101              3819908                      52                     55 + 16 part         481532                    80.137               1.111              28.56              661.10                    31.26                 3364 + 106 part  185610             44083   42686   14283   12487   36    38     87    93     
5_MA-H-Abyss-Scaffold broken    90         5123853       303330          5090491           64.10   64.15             109929  109929  72734   72734   16   16    31   31    5                448721                       8                      0 + 3 part           66194                     99.057               1.019              1.72               10.00                     2.51                  4877 + 83 part   303330             98139   98139   63630   64708   17    17     34    33     
5_MA-H-Abyss-Scaffold           64         5130175       965933          5090491           64.10   64.15             147937  147937  113145  113145  8    8     18   18    9                1764233                      28                     0 + 1 part           11899                     99.134               1.030              67.83              9.77                      4.25                  4889 + 76 part   663800             127410  127410  79589   79589   10    10     22    22     
5_MA-H-Cabog-Scaffold broken    127        5116053       238341          5090491           64.10   64.15             81416   81416   42966   42966   21   21    43   43    7                612517                       6                      0 + 5 part           65564                     98.890               1.004              0.00               8.55                      5.83                  4827 + 136 part  238341             78165   78165   38766   40137   23    23     47    46     
5_MA-H-Cabog-Scaffold           109        5116469       269229          5090491           64.10   64.15             94359   94359   50959   50959   19   19    37   37    10               956535                       13                     0 + 5 part           65564                     98.892               1.012              8.09               8.79                      8.45                  4835 + 128 part  238341             89623   89623   42892   42892   21    21     40    40     
5_MA-H-Msrca-Scaffold broken    63         5144734       375149          5090491           64.13   64.15             246830  246830  110872  110872  9    9     17   17    6                1062986                      2                      0 + 0 part           0                         99.341               1.018              0.00               49.65                     6.53                  4910 + 56 part   309535             187809  187809  88132   88132   10    10     19    19     
5_MA-H-Msrca-Scaffold           56         5144874       375149          5090491           64.13   64.15             246830  246830  122899  136061  9    9     17   16    11               1758713                      4                      0 + 0 part           0                         99.397               1.017              2.72               50.89                     7.17                  4913 + 54 part   309535             187809  187809  88132   88132   10    10     19    19     
5_MA-H-Sga-Scaffold broken      301        5120987       101254          5090491           64.11   64.15             28734   28781   17153   17362   55   54    110  109   3                114888                       1                      0 + 3 part           66157                     98.834               1.005              0.00               1.08                      1.50                  4711 + 244 part  101254             27712   27760   15475   15983   57    56     116   114    
5_MA-H-Sga-Scaffold             301        5120987       101254          5090491           64.11   64.15             28734   28781   17153   17362   55   54    110  109   3                114888                       1                      0 + 3 part           66157                     98.834               1.005              0.00               1.08                      1.50                  4711 + 244 part  101254             27712   27760   15475   15983   57    56     116   114    
5_MA-H-Soap-Scaffold broken     71         5136175       474277          5090491           64.09   64.15             148639  148639  88169   88169   11   11    22   22    8                1261153                      16                     1 + 1 part           17284                     99.196               1.022              0.00               1.71                      1.25                  4888 + 74 part   474277             147199  147199  75472   75472   12    12     24    24     
5_MA-H-Soap-Scaffold            66         5137467       474277          5090491           64.09   64.15             150256  150256  95162   95162   10   10    20   20    8                1380458                      22                     1 + 1 part           17284                     99.199               1.022              13.84              1.71                      1.25                  4888 + 74 part   474277             147925  147925  76847   79786   11    11     23    22     
5_MA-H-Spades-Scaffold broken   57         5460110       628906          5090491           64.06   64.15             215724  223056  114286  125893  9    8     18   16    8                1288081                      7                      0 + 1 part           54215                     99.352               1.077              0.00               4.96                      3.84                  4908 + 57 part   628906             209754  213402  92091   117110  10    9      20    17     
5_MA-H-Spades-Scaffold          57         5460110       628906          5090491           64.06   64.15             215724  223056  114286  125893  9    8     18   16    8                1288081                      7                      0 + 1 part           54215                     99.352               1.077              0.00               4.96                      3.60                  4908 + 57 part   628906             209754  213402  92091   117110  10    9      20    17     
5_MA-H-Velvet-Scaffold broken   138        5126222       191465          5090491           64.11   64.15             60955   61615   37038   37038   28   27    54   54    4                215454                       9                      0 + 2 part           66112                     99.146               1.019              0.00               3.05                      0.92                  4822 + 135 part  191465             58337   58337   34078   35836   29    29     57    56     
5_MA-H-Velvet-Scaffold          59         5140427       622957          5090491           64.11   64.15             248309  262034  95160   95160   8    7     17   17    9                1695861                      83                     0 + 0 part           0                         99.167               1.035              262.49             3.05                      1.25                  4827 + 130 part  522498             147850  147850  76430   79647   10    10     22    21     
6_MA-M-Abyss-Scaffold broken    156        5116320       245660          5090491           64.10   64.15             67088   67088   35186   35186   25   25    51   51    2                61216                        2                      0 + 5 part           78075                     98.922               1.004              0.33               1.59                      0.72                  4823 + 132 part  245660             62480   64844   30894   31165   26    25     54    53     
6_MA-M-Abyss-Scaffold           147        5116622       245660          5090491           64.10   64.15             73179   73179   39013   39233   23   23    47   46    2                157344                       3                      0 + 5 part           78075                     98.927               1.005              6.23               1.89                      2.47                  4830 + 125 part  245660             70126   70126   35186   36304   24    24     49    48     
6_MA-M-Cabog-Scaffold broken    856        5116310       40668           5090491           64.08   64.15             8655    8716    4755    4805    176  174   378  374   122              617425                       5                      5 + 14 part          75046                     96.186               1.030              0.00               4.15                      0.74                  4148 + 740 part  40668              8265    8293    4459    4497    182   181    395   390    
6_MA-M-Cabog-Scaffold           847        5116933       40668           5090491           64.08   64.15             9070    9127    4805    4858    171  170   370  366   123              677317                       13                     5 + 14 part          75046                     96.186               1.030              3.91               4.15                      0.78                  4149 + 739 part  40668              8537    8548    4482    4529    177   176    387   383    
6_MA-M-Msrca-Scaffold broken    325        5418108       104386          5090491           64.10   64.15             36211   38240   18405   21642   52   48    104  92    70               471137                       2                      1 + 14 part          72188                     98.380               1.068              0.00               2.88                      1.66                  4790 + 139 part  104372             35496   37156   17197   20039   53    49     109   95     
6_MA-M-Msrca-Scaffold           324        5418128       104386          5090491           64.10   64.15             36211   38240   18481   21939   52   48    104  92    70               471137                       2                      1 + 14 part          72188                     98.380               1.068              0.37               2.88                      1.68                  4791 + 138 part  104372             35496   37156   17299   20043   53    49     108   95     
6_MA-M-Sga-Scaffold broken      664        5225988       59847           5090491           64.10   64.15             12890   13299   7614    8066    126  121   255  242   6                78397                        1                      4 + 5 part           67076                     99.062               1.023              0.00               1.41                      0.42                  4465 + 499 part  59847              12516   12834   7060    7623    130   125    264   251    
6_MA-M-Sga-Scaffold             664        5225988       59847           5090491           64.10   64.15             12890   13299   7614    8066    126  121   255  242   6                78397                        1                      4 + 5 part           67076                     99.062               1.023              0.00               1.41                      0.42                  4465 + 499 part  59847              12516   12834   7060    7623    130   125    264   251    
6_MA-M-Soap-Scaffold broken     91         5133667       286460          5090491           64.09   64.15             131561  131561  68567   68982   14   14    29   28    5                771028                       19                     1 + 1 part           17284                     99.139               1.028              0.00               2.08                      1.31                  4877 + 82 part   261142             113272  113272  63022   63420   15    15     32    31     
6_MA-M-Soap-Scaffold            79         5134910       286460          5090491           64.09   64.15             147990  152604  79670   79670   13   12    24   24    5                771028                       31                     1 + 1 part           17284                     99.142               1.028              21.54              2.08                      1.96                  4877 + 82 part   261142             147162  147162  68982   70375   13    13     27    26     
6_MA-M-Spades-Scaffold broken   73         5164002       498363          5090491           64.00   64.15             220161  220161  122266  122266  8    8     16   16    6                925594                       4                      20 + 0 part          21977                     99.413               1.020              3.56               4.68                      1.07                  4913 + 54 part   498363             209894  209894  89745   89745   9     9      18    18     
6_MA-M-Spades-Scaffold          73         5164002       498363          5090491           64.00   64.15             220161  220161  122266  122266  8    8     16   16    6                925594                       4                      20 + 0 part          21977                     99.413               1.020              3.56               4.68                      1.07                  4913 + 54 part   498363             209894  209894  89745   89745   9     9      18    18     
6_MA-M-Velvet-Scaffold broken   203        5136825       226629          5090491           64.07   64.15             47327   48155   25959   26101   35   34    71   70    72               1569654                      3                      1 + 7 part           46877                     98.965               1.018              0.00               2.48                      0.70                  4746 + 214 part  130350             40129   41485   20444   20620   40    39     83    81     
6_MA-M-Velvet-Scaffold          154        5138008       226629          5090491           64.07   64.15             70983   70983   36382   37083   22   22    48   47    103              2931349                      36                     1 + 6 part           46864                     98.970               1.019              17.28              2.50                      0.72                  4747 + 213 part  130350             51675   51675   26503   27331   34    34     70    68     
7_RS-H-Abyss-Scaffold broken    519        4543250       66408           4602977           68.72   68.79             13523   13460   8668    8441    98   100   204  209   8                82256                        1                      1 + 1 part           661                       97.846               1.010              0.18               8.42                      0.89                  4032 + 358 part  66408              13523   13460   8662    8354    98    100    205   210    
7_RS-H-Abyss-Scaffold           518        4552480       66408           4602977           68.73   68.79             13523   13460   8674    8502    97   99    204  208   27               136091                       12                     0 + 1 part           27                        98.013               1.011              37.12              9.09                      1.15                  4033 + 369 part  66408              13475   13460   8674    8441    98    99     204   209    
7_RS-H-Cabog-Scaffold broken    534        4214745       41321           4602977           68.94   68.79             12421   11358   7179    5447    111  127   222  269   4                37614                        3                      0 + 10 part          360                       90.818               1.013              0.00               20.07                     1.72                  3619 + 514 part  41321              12360   11217   7179    5447    112   128    223   270    
7_RS-H-Cabog-Scaffold           320        4220437       132060          4602977           68.95   68.79             23585   21196   12169   9843    57   65    117  143   6                110666                       33                     0 + 4 part           146                       90.894               1.064              103.78             21.65                     41.85                 3793 + 341 part  132060             23406   20580   12157   9626    58    67     119   146    
7_RS-H-Msrca-Scaffold broken    106        4479673       358962          4602977           68.87   68.79             176783  176783  102004  69776   10   10    18   20    4                35324                        4                      0 + 1 part           29                        97.028               1.004              0.00               72.21                     1.19                  4297 + 59 part   358962             176783  176783  102004  69769   10    10     18    20     
7_RS-H-Msrca-Scaffold           101        4479773       358962          4602977           68.87   68.79             196511  196511  102004  76502   9    9     17   18    5                36508                        6                      0 + 1 part           29                        97.028               1.004              2.23               72.05                     2.19                  4298 + 58 part   358962             196511  196511  102004  76502   9     9      17    18     
7_RS-H-Sga-Scaffold broken      481        3974213       75323           4602977           68.93   68.79             13674   11833   7216    4750    89   114   185  264   1                8334                         1                      0 + 1 part           54                        86.226               1.001              0.00               1.11                      0.23                  3511 + 513 part  75323              13674   11793   7216    4750    89    114    185   264    
7_RS-H-Sga-Scaffold             481        3974213       75323           4602977           68.93   68.79             13674   11833   7216    4750    89   114   185  264   1                8334                         1                      0 + 1 part           54                        86.226               1.001              0.00               1.11                      0.23                  3511 + 513 part  75323              13674   11793   7216    4750    89    114    185   264    
7_RS-H-Soap-Scaffold broken     610        4451316       57198           4602977           68.88   68.79             14527   13945   7063    6651    97   103   207  224   3                13073                        99                     7 + 3 part           6516                      96.343               1.005              5.86               24.20                     26.65                 3784 + 620 part  57186              14224   13945   7027    6651    98    103    208   224    
7_RS-H-Soap-Scaffold            555        4455778       57198           4602977           68.88   68.79             15950   15520   8188    7371    90   94    187  202   3                13073                        125                    7 + 2 part           6500                      96.402               1.007              48.12              24.47                     46.74                 3812 + 593 part  57186              15950   15517   7924    7370    90    94     188   202    
7_RS-H-Spades-Scaffold broken   129        4630435       511523          4602977           68.83   68.79             127911  127911  73118   74016   10   10    22   21    8                188233                       8                      0 + 2 part           103                       99.313               1.022              14.99              5.86                      1.90                  4374 + 79 part   511523             127911  127911  68531   73118   10    10     22    21     
7_RS-H-Spades-Scaffold          129        4630435       511523          4602977           68.83   68.79             127911  127911  73118   74016   10   10    22   21    8                188233                       8                      0 + 2 part           103                       99.313               1.022              14.99              6.13                      1.90                  4374 + 79 part   511523             127911  127911  68531   73118   10    10     22    21     
7_RS-H-Velvet-Scaffold broken   586        4475470       59062           4602977           68.76   68.79             13807   13087   7500    6852    98   103   207  220   3                23057                        4                      0 + 4 part           179                       97.182               1.001              0.00               9.52                      0.31                  3904 + 516 part  59056              13807   13087   7500    6851    98    103    207   221    
7_RS-H-Velvet-Scaffold          283        4535262       119965          4602977           68.78   68.79             36086   34182   19195   18000   39   40    83   86    16               59273                        338                    0 + 1 part           43                        97.594               1.010              916.02             10.11                     1.27                  3913 + 518 part  119041             33823   33086   17995   17575   40    41     85    87     
8_RS-M-Abyss-Scaffold broken    382        4503182       71578           4602977           68.77   68.79             22050   21441   11736   11021   67   70    137  144   2                24651                        2                      0 + 2 part           96                        97.762               1.003              0.00               3.38                      0.24                  4120 + 275 part  71578              22050   21441   11706   11021   67    70     138   144    
