Assembly	CABOG_miseq_ctg	CABOG_hiseq_ctg	MIRA_miseq_ctg	MIRA_hiseq_ctg	MaSuRCA_miseq_ctg	MaSuRCA_hiseq_ctg	SOAPdenovo_miseq_ctg	SOAPdenovo_hiseq_ctg	SPAdes_miseq_ctg	SPAdes_hiseq_ctg	Velvet_miseq_ctg	Velvet_hiseq_ctg	CABOG_miseq_scf	CABOG_hiseq_scf	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf	SOAPdenovo_miseq_scf	SOAPdenovo_hiseq_scf	SPAdes_miseq_scf	SPAdes_hiseq_scf	Velvet_miseq_scf	Velvet_hiseq_scf
Unaligned contigs length	7706	0	11825	615	811	399	5991	551	41368	2685	6297	549	7706	0	811	399	8949	1307	46754	2685	6297	549
Genome fraction (%)	7.639	95.361	98.078	94.917	97.670	98.121	96.230	96.488	98.752	98.611	96.234	96.340	7.639	95.321	97.670	98.152	96.774	97.200	98.752	98.753	96.242	96.251
Duplication ratio	1.011	1.006	1.012	1.009	1.023	1.008	1.001	1.002	1.004	1.007	1.007	1.012	1.011	1.023	1.023	1.013	1.011	1.012	1.004	1.062	1.007	1.016
# N's per 100 kbp	0.00	0.00	0.70	23.12	0.00	0.00	0.00	0.00	5.85	8.75	0.00	0.00	0.00	25.97	0.00	17.54	1026.18	1287.95	5.84	9.00	1.28	515.80
# mismatches per 100 kbp	36.35	7.72	5.28	17.37	6.27	68.93	3.01	3.31	4.90	6.64	4.23	5.89	36.35	7.41	6.27	68.83	3.95	8.16	4.90	7.03	4.33	5.80
# indels per 100 kbp	17.20	7.41	2.96	4.41	3.17	6.62	2.60	2.85	3.11	3.44	2.63	3.14	17.20	18.75	3.17	12.07	3.00	2.99	3.11	3.72	2.65	5.28
# genes	123 + 277 part	3346 + 120 part	3534 + 84 part	2627 + 893 part	3534 + 66 part	3552 + 65 part	3336 + 122 part	3274 + 189 part	3597 + 29 part	3571 + 30 part	3460 + 70 part	3392 + 121 part	123 + 277 part	3383 + 84 part	3534 + 66 part	3568 + 51 part	3349 + 155 part	3299 + 215 part	3598 + 28 part	3586 + 26 part	3459 + 71 part	3379 + 130 part
Largest alignment	5582	224338	383237	22077	255146	356958	98351	69685	741022	369299	246346	157831	5582	355655	255146	555729	246082	573310	741022	572859	246346	409820
NA50	1624	57089	108646	4812	76131	90882	29551	21657	262160	137656	105176	42805	1624	134075	76131	236430	91868	180945	262160	214751	105176	163055
NGA50	-	55585	108646	4596	76131	90882	28424	20717	262160	137656	105176	41373	-	102118	76131	236430	89757	180945	262160	214751	105176	156829
NA75	1288	28862	39171	2576	45141	48002	17092	12597	106531	95507	43442	22638	1288	47302	45141	76901	38643	92058	106531	129169	43442	71376
NGA75	-	25091	38713	2336	45141	47549	16323	11588	106531	95507	39408	19470	-	40477	45141	76901	38321	92058	106531	152627	39408	59664
LA50	72	20	11	241	16	10	39	57	5	10	12	28	72	10	16	6	14	7	5	7	12	8
LGA50	-	22	11	260	16	10	41	60	5	10	12	30	-	11	16	6	15	7	5	7	12	9
LA75	128	44	27	509	34	24	83	115	12	18	26	59	128	25	34	15	33	14	12	13	26	18
LGA75	-	49	28	562	34	25	90	123	12	18	28	64	-	28	34	15	34	14	12	12	28	20
