Assembly	1_AH-H-Abyss-Contig	1_AH-H-Cabog-Contig	1_AH-H-Mira-Contig	1_AH-H-Msrca-Contig	1_AH-H-Sga-Contig	1_AH-H-Soap-Contig	1_AH-H-Spades-Contig	1_AH-H-Velvet-Contig	2_BC-H-Abyss-Contig	2_BC-H-Cabog-Contig	2_BC-H-Mira-Contig	2_BC-H-Msrca-Contig	2_BC-H-Sga-Contig	2_BC-H-Soap-Contig	2_BC-H-Spades-Contig	2_BC-H-Velvet-Contig	3_BC-M-Abyss-Contig	3_BC-M-Cabog-Contig	3_BC-M-Mira-Contig	3_BC-M-Msrca-Contig	3_BC-M-Sga-Contig	3_BC-M-Soap-Contig	3_BC-M-Spades-Contig	3_BC-M-Velvet-Contig	4_BF-H-Abyss-Contig	4_BF-H-Cabog-Contig	4_BF-H-Mira-Contig	4_BF-H-Msrca-Contig	4_BF-H-Sga-Contig	4_BF-H-Soap-Contig	4_BF-H-Spades-Contig	4_BF-H-Velvet-Contig	5_MA-H-Abyss-Contig	5_MA-H-Cabog-Contig	5_MA-H-Mira-Contig	5_MA-H-Msrca-Contig	5_MA-H-Sga-Contig	5_MA-H-Soap-Contig	5_MA-H-Spades-Contig	5_MA-H-Velvet-Contig	6_MA-M-Abyss-Contig	6_MA-M-Cabog-Contig	6_MA-M-Mira-Contig	6_MA-M-Msrca-Contig	6_MA-M-Sga-Contig	6_MA-M-Soap-Contig	6_MA-M-Spades-Contig	6_MA-M-Velvet-Contig	7_RS-H-Abyss-Contig	7_RS-H-Cabog-Contig	7_RS-H-Mira-Contig	7_RS-H-Msrca-Contig	7_RS-H-Sga-Contig	7_RS-H-Soap-Contig	7_RS-H-Spades-Contig	7_RS-H-Velvet-Contig	8_RS-M-Abyss-Contig	8_RS-M-Cabog-Contig	8_RS-M-Mira-Contig	8_RS-M-Msrca-Contig	8_RS-M-Sga-Contig	8_RS-M-Soap-Contig	8_RS-M-Spades-Contig	8_RS-M-Velvet-Contig	9_SA-H-Abyss-Contig	9_SA-H-Cabog-Contig	9_SA-H-Mira-Contig	9_SA-H-Msrca-Contig	9_SA-H-Sga-Contig	9_SA-H-Soap-Contig	9_SA-H-Spades-Contig	9_SA-H-Velvet-Contig	10_VC-H-Abyss-Contig	10_VC-H-Cabog-Contig	10_VC-H-Mira-Contig	10_VC-H-Msrca-Contig	10_VC-H-Sga-Contig	10_VC-H-Soap-Contig	10_VC-H-Spades-Contig	10_VC-H-Velvet-Contig	11_VC-M-Abyss-Contig	11_VC-M-Cabog-Contig	11_VC-M-Mira-Contig	11_VC-M-Msrca-Contig	11_VC-M-Sga-Contig	11_VC-M-Soap-Contig	11_VC-M-Spades-Contig	11_VC-M-Velvet-Contig	12_XA-H-Cabog-Contig	12_XA-H-Mira-Contig	12_XA-H-Msrca-Contig	12_XA-H-Sga-Contig	12_XA-H-Soap-Contig	12_XA-H-Spades-Contig	12_XA-H-Velvet-Contig
L50	7	6	10	3	25	8	5	9	38	17	28	16	69	30	15	33	12	13	14	6	64	6	17	65	19	18	12	11	38	14	10	14	15	21	12	9	55	11	10	28	24	176	15	52	126	14	8	35	98	111	69	10	96	121	19	98	67	30	90	12	150	44	15	58	13	7	7	5	22	7	6	7	13	19	14	6	49	10	16	30	21	34	9	16	45	15	5	15	16	21	15	35	21	16	20
LG50	7	6	9	3	24	8	5	8	34	22	25	15	68	29	14	39	12	13	14	6	65	6	17	68	13	19	12	11	40	15	10	14	15	21	12	9	54	11	10	27	24	174	13	48	121	14	8	34	101	127	72	10	111	128	18	103	70	39	90	13	152	45	15	60	12	8	7	5	23	7	6	7	13	21	14	6	52	11	17	31	22	35	9	16	47	15	5	15	17	16	15	37	22	16	20
L75	15	12	16	7	50	15	12	18	92	43	85	40	155	74	38	74	26	26	32	13	129	16	34	136	42	38	24	23	76	30	22	29	29	43	22	17	110	22	20	54	48	378	36	104	255	29	16	71	205	222	154	18	204	259	38	207	137	64	191	21	321	88	30	115	29	16	16	9	43	13	11	15	27	43	27	13	103	21	32	62	44	74	20	33	94	34	11	31	32	53	30	70	44	30	40
LG75	14	11	15	6	47	14	11	17	78	63	75	36	153	68	33	94	27	26	32	13	132	17	35	143	25	41	24	23	81	32	22	30	29	43	22	17	109	22	19	54	47	374	31	92	242	28	16	70	211	269	163	20	252	281	37	220	144	89	190	24	327	91	30	121	26	17	16	9	46	14	11	17	26	48	28	14	113	22	34	66	48	77	21	33	99	36	11	33	34	31	30	76	45	30	42
# misassemblies	0	2	1	2	3	0	1	0	5	0	1	4	0	1	5	0	2	4	8	9	1	0	5	3	154	102	115	119	65	92	104	98	4	7	22	6	3	8	4	4	2	122	1085	70	6	5	6	72	8	4	9	4	1	3	8	3	2	6	20	5	3	1	9	3	62	78	80	75	34	61	67	66	6	20	24	8	3	15	4	4	2	17	49	19	2	12	5	14	1	0	0	6	0	0	0
Misassembled contigs length	0	28456	19737	3104	131784	0	579	0	3003	0	995	3269	0	503	3725	0	52909	541451	532679	289559	508	0	105455	72913	5508098	3570138	4218273	4167060	2145331	3785868	3997256	3745674	302822	612517	1331243	1062986	114888	1261153	551561	215454	92402	617425	2501821	471137	78397	771028	925594	1569654	82256	37614	53750	35324	8334	13073	185752	23057	24651	119353	162528	41134	10550	3702	216655	92376	2018672	2395546	2301598	2708175	1102196	2429427	2666808	2360697	376802	385832	558799	708761	17831	1155029	75745	55189	70441	128064	1093737	216881	18041	408395	386647	749414	18508	0	0	256146	0	0	0
# local misassemblies	0	1	3	0	9	0	0	0	2	0	0	1	0	1	0	0	25	6	14	11	1	21	14	11	53	48	50	50	39	46	50	46	8	6	6	2	1	16	5	9	2	5	18	2	1	19	4	3	1	3	4	4	1	9	4	4	2	2	6	4	1	10	4	8	68	63	77	78	44	79	83	78	17	11	9	5	0	50	2	8	0	7	7	3	0	44	4	2	6	7	7	22	6	8	12
# unaligned contigs	12 + 34 part	40 + 32 part	72 + 36 part	2 + 21 part	68 + 61 part	6 + 28 part	13 + 26 part	10 + 39 part	317 + 42 part	122 + 41 part	490 + 70 part	152 + 50 part	541 + 26 part	250 + 31 part	179 + 55 part	250 + 27 part	0 + 1 part	0 + 1 part	3 + 4 part	0 + 1 part	0 + 2 part	1 + 0 part	2 + 1 part	1 + 3 part	34 + 28 part	24 + 25 part	88 + 27 part	19 + 17 part	75 + 52 part	59 + 21 part	46 + 18 part	63 + 18 part	0 + 3 part	0 + 6 part	0 + 1 part	0 + 0 part	0 + 3 part	1 + 1 part	0 + 1 part	0 + 2 part	0 + 5 part	5 + 14 part	2 + 2 part	1 + 14 part	5 + 5 part	1 + 1 part	20 + 0 part	1 + 7 part	1 + 1 part	0 + 10 part	0 + 4 part	0 + 1 part	0 + 2 part	1 + 10 part	0 + 0 part	0 + 4 part	0 + 2 part	0 + 1 part	0 + 2 part	0 + 1 part	0 + 1 part	0 + 1 part	0 + 0 part	1 + 0 part	7 + 18 part	5 + 14 part	49 + 13 part	3 + 8 part	29 + 30 part	9 + 10 part	7 + 8 part	11 + 9 part	1 + 0 part	0 + 0 part	0 + 2 part	0 + 2 part	1 + 0 part	1 + 1 part	1 + 1 part	1 + 1 part	1 + 0 part	1 + 2 part	5 + 10 part	0 + 3 part	1 + 2 part	2 + 3 part	57 + 3 part	1 + 5 part	38 + 46 part	1092 + 50 part	91 + 42 part	119 + 82 part	87 + 62 part	109 + 41 part	90 + 55 part
Unaligned contigs length	4234083	4265289	4226670	4256366	4059484	4182196	4192431	4183402	5755368	4757247	5551044	5565814	5444412	5562696	5659887	4924740	2338	2142	5369	2142	2237	2316	3406	2596	683663	476251	518771	439656	679045	517502	485848	487386	66194	65602	25	0	66157	17284	54213	66112	78075	75046	19005	72188	72708	17284	16591	46877	661	360	758	29	83	1113	0	179	96	78	43	23	11	383	0	688	185987	62472	100677	110359	158596	93771	81227	95288	602	0	173	399	551	603	1261	576	619	5249	13951	811	6359	6480	41368	6703	3782691	4939160	3851470	3572104	3832425	3887717	3801991
Genome fraction (%)	15.010	14.751	15.145	13.728	15.852	14.870	15.166	14.808	0.792	0.588	1.555	0.897	0.488	0.656	1.048	0.759	98.451	99.323	99.155	99.160	98.348	98.226	98.926	97.661	80.626	79.582	80.390	80.517	79.584	80.132	80.382	80.117	99.073	98.890	99.388	99.341	98.859	99.196	99.242	99.146	98.926	96.186	99.421	98.380	99.076	99.139	99.413	98.965	97.818	90.818	97.109	97.028	91.376	96.251	99.272	97.182	97.762	85.599	98.849	91.960	98.390	97.983	99.418	97.422	90.923	89.895	90.489	90.420	89.180	90.076	90.647	90.395	97.712	95.623	97.925	98.147	96.276	97.295	97.439	97.038	96.699	96.968	98.311	97.670	96.574	96.940	98.643	97.563	19.597	19.860	20.064	21.403	20.286	20.181	19.899
Duplication ratio	1.032	1.056	1.021	1.010	1.078	1.002	1.024	1.001	1.163	1.244	1.075	1.198	1.008	1.026	1.229	1.022	1.010	1.006	1.010	1.011	1.004	1.003	1.008	1.003	1.467	1.109	1.117	1.146	1.060	1.103	1.120	1.109	1.019	1.004	1.027	1.018	1.005	1.022	1.013	1.019	1.004	1.030	1.075	1.068	1.023	1.028	1.020	1.018	1.010	1.013	1.006	1.004	1.001	1.003	1.018	1.001	1.003	1.009	1.019	1.004	1.008	1.008	1.004	1.000	1.080	1.049	1.050	1.062	1.016	1.045	1.056	1.041	1.052	1.007	1.016	1.013	1.002	1.009	1.007	1.011	1.001	1.016	1.016	1.023	1.008	1.003	1.004	1.007	1.083	1.098	1.080	1.154	1.060	1.081	1.100
# N's per 100 kbp	1.83	0.00	4.21	0.00	0.00	0.00	1.28	0.00	0.00	0.00	4.54	0.00	0.00	0.00	16.04	0.00	102.42	0.00	3.53	0.00	0.00	0.00	4.10	0.00	3.40	0.00	2.45	0.00	0.00	0.00	8.25	0.00	12.10	0.70	2.06	0.00	0.00	0.00	0.00	0.00	4.28	0.00	3.04	0.00	0.00	0.00	3.57	0.00	0.18	0.00	5.36	0.00	0.00	0.00	14.93	0.00	0.00	5.31	2.58	0.00	0.00	0.00	10.16	0.00	0.00	0.00	1.61	0.00	0.00	0.00	2.00	0.00	100.94	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	5.18	0.00	0.00	14.26	0.00	0.00	0.00	4.75	0.00
# mismatches per 100 kbp	2686.51	3837.64	3566.60	3634.39	4131.45	3967.49	3611.13	3648.52	3383.28	3550.71	3381.23	2881.27	3977.69	3904.84	2353.02	3487.03	6.56	4.80	4.85	9.08	0.80	8.96	12.78	6.18	661.17	659.26	669.71	684.22	641.35	660.86	666.63	660.05	3.93	8.55	5.69	49.65	1.10	1.71	2.14	3.05	1.59	4.15	4.47	2.92	1.45	2.08	4.68	2.48	8.64	20.07	20.63	72.10	1.12	25.12	5.80	9.52	3.38	7.11	39.58	9.66	0.88	3.13	8.13	10.50	850.36	852.32	867.95	889.85	817.55	859.46	862.97	867.44	5.28	17.01	10.38	68.61	3.17	14.02	5.19	4.47	3.31	8.16	8.88	6.27	2.88	8.16	4.88	4.09	4068.20	4055.15	4176.56	4097.65	4010.62	4049.19	3994.56
# indels per 100 kbp	112.68	141.51	156.57	140.76	166.19	140.82	134.68	120.10	209.06	310.54	117.36	205.49	118.45	142.17	179.25	118.84	8.00	2.41	2.21	3.58	2.04	2.98	2.92	3.13	37.13	63.80	31.48	29.50	26.27	28.93	32.51	31.13	2.19	5.83	0.87	6.53	1.50	1.25	1.68	0.92	1.41	0.74	0.75	1.66	0.42	1.31	1.07	0.70	0.84	1.72	2.71	1.19	0.21	7.61	0.85	0.31	0.24	0.46	5.14	0.78	0.40	0.78	0.79	0.65	61.07	72.39	60.62	59.29	39.19	54.12	52.35	59.26	5.71	7.34	3.85	6.90	2.60	5.58	2.93	4.85	2.64	3.63	4.06	3.17	2.75	4.37	3.24	2.80	171.49	149.80	194.41	149.00	143.12	141.00	181.03
# genes	607 + 66 part	598 + 73 part	633 + 64 part	565 + 66 part	623 + 77 part	603 + 67 part	617 + 62 part	606 + 61 part	95 + 11 part	59 + 14 part	119 + 77 part	112 + 23 part	22 + 6 part	49 + 4 part	88 + 24 part	46 + 7 part	5813 + 73 part	5934 + 64 part	5919 + 85 part	5961 + 43 part	5684 + 231 part	5828 + 58 part	5896 + 68 part	5543 + 328 part	3391 + 102 part	3301 + 156 part	3373 + 107 part	3377 + 105 part	3303 + 134 part	3360 + 111 part	3373 + 103 part	3363 + 106 part	4874 + 85 part	4827 + 136 part	4902 + 65 part	4910 + 56 part	4711 + 246 part	4888 + 74 part	4897 + 65 part	4822 + 135 part	4829 + 126 part	4148 + 740 part	4869 + 98 part	4790 + 139 part	4465 + 499 part	4877 + 82 part	4913 + 54 part	4746 + 214 part	4029 + 361 part	3619 + 514 part	3908 + 503 part	4297 + 59 part	3677 + 592 part	3751 + 652 part	4349 + 104 part	3904 + 516 part	4120 + 275 part	3738 + 140 part	3952 + 505 part	4110 + 45 part	3806 + 647 part	4132 + 306 part	4383 + 72 part	4135 + 276 part	2466 + 66 part	2454 + 57 part	2469 + 64 part	2473 + 56 part	2374 + 80 part	2448 + 56 part	2477 + 54 part	2463 + 61 part	3498 + 59 part	3374 + 123 part	3516 + 65 part	3573 + 46 part	3296 + 166 part	3479 + 50 part	3483 + 46 part	3386 + 132 part	3413 + 55 part	3401 + 144 part	3559 + 64 part	3534 + 66 part	3355 + 134 part	3442 + 85 part	3598 + 28 part	3491 + 79 part	774 + 78 part	780 + 79 part	795 + 70 part	836 + 99 part	803 + 87 part	801 + 77 part	784 + 81 part
Largest alignment	52419	52397	52419	52419	52419	52419	52419	52419	9186	5194	5197	9186	5197	9186	9186	9186	430487	258489	311769	766822	106317	606357	346882	91844	186153	182457	188970	185930	133449	185821	185423	185610	610150	238341	313312	309535	101254	474277	627055	191465	245660	40668	257874	104372	59847	261142	498363	130350	66408	41321	110511	358962	75323	45511	291332	59056	71578	127843	67456	241348	44874	115051	286217	71713	187397	172651	187515	187458	137514	187397	187456	187397	246076	256726	211909	555664	108154	425699	214707	157783	178118	140691	450326	255146	105420	246179	741022	246346	46286	46289	46289	48600	40364	46289	46289
NA50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	130570	150479	100038	246697	25767	246346	103691	24577	38481	33716	43533	42218	27630	42686	43492	42686	111763	78165	129075	187809	27712	147199	147871	58337	67488	8265	69002	35496	12516	113272	209894	40129	13475	12360	18527	176783	12872	11091	74016	13807	22050	41176	15445	142742	9224	33829	118093	24300	42776	45901	52166	70865	32628	79978	70865	64058	92996	57813	89505	236373	23808	112904	83518	40877	60473	33710	108689	76131	27573	71357	262160	67096	-	-	-	-	-	-	-
NGA50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	130570	150479	100038	246697	25512	246346	103691	24465	50798	30567	43533	42218	27083	41464	42951	41192	115738	78165	129075	187809	27760	147199	147871	58337	68549	8293	74997	37156	12834	113272	209894	41485	13319	11217	17656	176783	12057	10512	83460	13087	21441	30364	15445	130714	9108	33491	118093	24205	49061	45835	49345	70865	32014	79978	70865	57767	92996	53007	89505	236373	23429	112904	77065	39468	60272	32784	108689	76131	27303	68152	262160	63574	-	-	-	-	-	-	-
NA75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69698	74529	51519	170659	16197	78462	60216	13814	12492	9866	13208	11177	7687	12745	14057	13480	63561	38766	88214	88132	15475	75472	80282	34078	35186	4459	33655	17197	6950	63022	89745	20444	8502	7179	9183	102004	6960	5900	42417	7500	11706	22361	7925	102371	4933	16889	52010	14804	22162	26603	31712	37339	17410	33715	37339	33895	58395	28288	52881	76901	12382	62739	46841	22753	27970	17241	52144	45141	15449	37218	106531	40333	-	-	-	-	-	-	-
NGA75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65667	74529	51519	170659	15678	74856	57817	13213	30333	7076	13166	11607	6225	11178	13166	11607	63561	40137	88214	88132	15983	75472	80282	35836	35186	4497	42893	20039	7623	63420	89745	20620	8339	5447	8287	69769	5330	5304	42417	6851	11021	15957	7925	64787	4825	15822	52010	13982	27300	23299	31356	34865	15924	32354	34865	32712	58395	25832	51186	76901	10978	62256	44636	20673	24934	16374	52144	45141	14804	32753	106531	39408	-	-	-	-	-	-	-
LA50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	14	15	6	64	6	17	66	54	41	36	37	58	38	37	37	16	23	15	10	57	12	10	29	25	182	23	53	130	15	9	40	99	112	69	10	96	121	19	98	67	31	91	12	150	44	15	59	19	17	16	13	28	13	13	14	14	21	15	6	49	11	16	30	21	34	9	16	45	15	5	16	-	-	-	-	-	-	-
LGA50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	14	15	6	65	6	17	68	35	44	36	37	61	39	38	39	15	23	15	10	56	12	10	29	24	181	20	49	125	15	9	39	101	128	72	10	111	128	18	103	70	41	91	13	152	45	15	61	18	18	17	13	30	13	13	15	14	22	15	6	52	11	17	31	22	35	9	16	47	16	5	17	-	-	-	-	-	-	-
LA75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	27	34	13	129	16	34	137	132	107	88	93	140	92	87	89	31	47	26	19	116	24	21	57	50	395	50	109	265	32	18	83	206	223	154	18	204	260	38	207	138	66	194	21	322	88	30	116	42	35	34	27	54	27	27	30	28	46	29	15	103	22	32	62	44	74	22	34	94	34	12	35	-	-	-	-	-	-	-
LGA75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	27	34	13	132	17	35	143	69	121	90	92	157	99	90	96	31	46	26	19	114	24	21	56	50	390	43	95	251	31	18	81	211	270	164	20	252	282	38	221	144	91	194	24	328	92	30	122	38	38	35	28	60	29	28	32	28	51	30	15	113	23	34	66	48	77	22	34	99	37	12	37	-	-	-	-	-	-	-
