All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     1_MA-H-Abyss-Contig    1_MA-H-Cabog-Contig    1_MA-H-Mira-Contig    1_MA-H-Msrca-Contig    1_MA-H-Sga-Contig    1_MA-H-Soap-Contig    1_MA-H-Spades-Contig    1_MA-H-Velvet-Contig    2_MA-M-Abyss-Contig    2_MA-M-Cabog-Contig    2_MA-M-Mira-Contig    2_MA-M-Msrca-Contig    2_MA-M-Sga-Contig    2_MA-M-Soap-Contig    2_MA-M-Spades-Contig    2_MA-M-Velvet-Contig    
# unaligned contigs          0 + 3 part             0 + 6 part             0 + 1 part            0 + 0 part             0 + 3 part           1 + 1 part            0 + 1 part              0 + 2 part              0 + 5 part             5 + 14 part            2 + 2 part            1 + 14 part            5 + 5 part           1 + 1 part            20 + 0 part             1 + 7 part              
Unaligned contigs length     66194                  65602                  25                    0                      66157                17284                 54213                   66112                   78075                  75046                  19005                 72188                  72708                17284                 16591                   46877                   
Genome fraction (%)          99.073                 98.890                 99.388                99.341                 98.859               99.196                99.242                  99.146                  98.926                 96.186                 99.421                98.380                 99.076               99.139                99.413                  98.965                  
Duplication ratio            1.019                  1.004                  1.027                 1.018                  1.005                1.022                 1.013                   1.019                   1.004                  1.030                  1.075                 1.068                  1.023                1.028                 1.020                   1.018                   
# N's per 100 kbp            12.10                  0.70                   2.06                  0.00                   0.00                 0.00                  0.00                    0.00                    4.28                   0.00                   3.04                  0.00                   0.00                 0.00                  3.57                    0.00                    
# mismatches per 100 kbp     3.93                   8.55                   5.69                  49.65                  1.10                 1.71                  2.14                    3.05                    1.59                   4.15                   4.47                  2.92                   1.45                 2.08                  4.68                    2.48                    
# indels per 100 kbp         2.19                   5.83                   0.87                  6.53                   1.50                 1.25                  1.68                    0.92                    1.41                   0.74                   0.75                  1.66                   0.42                 1.31                  1.07                    0.70                    
# genes                      4874 + 85 part         4827 + 136 part        4902 + 65 part        4910 + 56 part         4711 + 246 part      4888 + 74 part        4897 + 65 part          4822 + 135 part         4829 + 126 part        4148 + 740 part        4869 + 98 part        4790 + 139 part        4465 + 499 part      4877 + 82 part        4913 + 54 part          4746 + 214 part         
Largest alignment            610150                 238341                 313312                309535                 101254               474277                627055                  191465                  245660                 40668                  257874                104372                 59847                261142                498363                  130350                  
NA50                         111763                 78165                  129075                187809                 27712                147199                147871                  58337                   67488                  8265                   69002                 35496                  12516                113272                209894                  40129                   
NGA50                        115738                 78165                  129075                187809                 27760                147199                147871                  58337                   68549                  8293                   74997                 37156                  12834                113272                209894                  41485                   
NA75                         63561                  38766                  88214                 88132                  15475                75472                 80282                   34078                   35186                  4459                   33655                 17197                  6950                 63022                 89745                   20444                   
NGA75                        63561                  40137                  88214                 88132                  15983                75472                 80282                   35836                   35186                  4497                   42893                 20039                  7623                 63420                 89745                   20620                   
LA50                         16                     23                     15                    10                     57                   12                    10                      29                      25                     182                    23                    53                     130                  15                    9                       40                      
LGA50                        15                     23                     15                    10                     56                   12                    10                      29                      24                     181                    20                    49                     125                  15                    9                       39                      
LA75                         31                     47                     26                    19                     116                  24                    21                      57                      50                     395                    50                    109                    265                  32                    18                      83                      
LGA75                        31                     46                     26                    19                     114                  24                    21                      56                      50                     390                    43                    95                     251                  31                    18                      81                      
